SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-28-2017,Single Family Residential,3108 Vista Dr,Manhattan Beach,CA,90266,2199000,3,3.0,142 - Manhattan Bch Sand,2000,1350,2005,147,1100,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3108-Vista-Dr-90266/home/6710363,CRMLS,SB17115398,N,Y,33.8978641,-118.4149122
PAST SALE,November-14-2017,Single Family Residential,206 W Oak Ave,El Segundo,CA,90245,1250000,3,1.5,141 - El Segundo,1412,6715,1947,100,885,,Sold,,,http://www.redfin.com/CA/El-Segundo/206-W-Oak-Ave-90245/home/6643786,CRMLS,SB17225433,N,Y,33.9258414,-118.4172184
PAST SALE,September-19-2017,Single Family Residential,3400 N Poinsettia Ave,Manhattan Beach,CA,90266,2945000,5,4.75,143 - Manhattan Bch Tree,3245,4643,2017,156,908,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3400-N-Poinsettia-Ave-90266/home/6708093,CRMLS,SB17056314,N,Y,33.8995548,-118.4005538
PAST SALE,,Single Family Residential,3516 Palm Ave,Manhattan Beach,CA,90266,2242500,5,5.0,,3310,4640,2000,,677,,,,,http://www.redfin.com/CA/Manhattan-Beach/3516-Palm-Ave-90266/home/6707879,,,N,Y,33.9005949,-118.4014465
PAST SALE,October-4-2017,Single Family Residential,665 33rd St,Manhattan Beach,CA,90266,2018194,3,3.0,Manhattan Beach Tree,2188,5390,1956,141,922,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/665-33rd-St-90266/home/6708859,TheMLS,17-255812,N,Y,33.8993207,-118.4074405
PAST SALE,October-31-2017,Single Family Residential,1435 E Maple Ave,El Segundo,CA,90245,1869000,4,4.25,141 - El Segundo,2528,7539,1953,114,739,,Sold,,,http://www.redfin.com/CA/El-Segundo/1435-E-Maple-Ave-90245/home/6660693,CRMLS,SB17100757,N,Y,33.9272166,-118.4006228
PAST SALE,November-15-2017,Single Family Residential,232 20th St,Manhattan Beach,CA,90266,4275000,5,5.0,142 - Manhattan Bch Sand,4545,2703,2001,99,941,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/232-20th-St-90266/home/6711237,CRMLS,SB17236772,N,Y,33.8903482,-118.4129328
PAST SALE,December-7-2017,Single Family Residential,316 27th St,Manhattan Beach,CA,90266,6500000,4,4.75,142 - Manhattan Bch Sand,4183,2705,2017,77,1554,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/316-27th-St-90266/home/6710869,CRMLS,SB17201886,N,Y,33.8949354,-118.4145779
PAST SALE,December-12-2017,Single Family Residential,1506 E Maple Ave,El Segundo,CA,90245,1363000,3,3.0,141 - El Segundo,1548,9335,1953,72,880,,Sold,,,http://www.redfin.com/CA/El-Segundo/1506-E-Maple-Ave-90245/home/6661107,CRMLS,SB17248520,N,Y,33.9267963,-118.3995986
PAST SALE,December-15-2017,Single Family Residential,2722 N Ardmore Ave N,Manhattan Beach,CA,90266,1850000,3,2.0,143 - Manhattan Bch Tree,1495,5010,1936,69,1237,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/2722-N-Ardmore-Ave-90266/home/6708554,CRMLS,SB17271886,N,Y,33.8963137,-118.399723
PAST SALE,December-13-2017,Single Family Residential,627 Loma Vista St,El Segundo,CA,90245,1750000,4,3.5,141 - El Segundo,2450,3723,2005,71,714,,Sold,,,http://www.redfin.com/CA/El-Segundo/627-Loma-Vista-St-90245/home/6641971,CRMLS,SB17216374,N,Y,33.9245134,-118.4224923
PAST SALE,December-20-2017,Single Family Residential,205 Rosecrans Pl,Manhattan Beach,CA,90266,1386000,2,1.75,142 - Manhattan Bch Sand,706,1346,1941,64,1963,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/205-37th-Pl-90266/home/6656821,CRMLS,SB17207043,N,Y,33.901134,-118.418799
PAST SALE,January-9-2018,Single Family Residential,746 31st St,Manhattan Beach,CA,90266,3030000,4,3.0,143 - Manhattan Bch Tree,3526,4798,1991,44,859,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/746-31st-St-90266/home/6709101,CRMLS,SB17207664,N,Y,33.8980066,-118.4055846
PAST SALE,January-25-2018,Single Family Residential,707 Bungalow Dr,El Segundo,CA,90245,2300000,5,4.5,141 - El Segundo,4000,6590,2010,28,575,,Sold,,,http://www.redfin.com/CA/El-Segundo/707-Bungalow-Dr-90245/home/6648029,CRMLS,SB17270960,N,Y,33.9253443,-118.4060762
PAST SALE,January-26-2018,Single Family Residential,633 California St,El Segundo,CA,90245,1420000,4,2.0,141 - El Segundo,1889,7060,1965,27,752,,Sold,,,http://www.redfin.com/CA/El-Segundo/633-California-St-90245/home/6661540,CRMLS,SB17273509,N,Y,33.9245325,-118.4023385
PAST SALE,January-25-2018,Single Family Residential,420 31st St,Manhattan Beach,CA,90266,4637500,5,4.75,142 - Manhattan Bch Sand,4302,2699,2017,28,1078,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/420-31st-St-90266/home/6710338,CRMLS,SB17218020,N,Y,33.8975553,-118.4146468
PAST SALE,December-22-2017,Single Family Residential,320 32nd St,Manhattan Beach,CA,90266,3780000,5,4.0,142 - Manhattan Bch Sand,4289,2702,2000,62,881,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/320-32nd-St-90266/home/6710371,CRMLS,SB17078254,N,Y,33.8978127,-118.415783
PAST SALE,February-2-2018,Single Family Residential,940 Rosecrans Ave,Manhattan Beach,CA,90266,2069000,5,3.5,143 - Manhattan Bch Tree,3209,5975,1958,20,645,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/940-Rosecrans-Ave-90266/home/6707940,CRMLS,SB17266335,N,Y,33.9016485,-118.3994158
PAST SALE,August-30-2017,Single Family Residential,5542 W 122nd St,Hawthorne,CA,90250,785000,4,1.75,107 - Holly Glen/Del Aire,1322,5072,1950,176,594,,Sold,,,http://www.redfin.com/CA/Hawthorne/5542-W-122nd-St-90250/home/6667636,CRMLS,PF17176840,N,Y,33.9221217,-118.3777184
PAST SALE,September-29-2017,Single Family Residential,4748 W 133rd St,Hawthorne,CA,90250,795000,3,2.0,109 - Ramona/Burleigh,1785,6001,1947,146,445,,Sold,,,http://www.redfin.com/CA/Hawthorne/4748-W-133rd-St-90250/home/6490088,CRMLS,PV17191587,N,Y,33.9115076,-118.360097
